CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer_name,from,until,null,PRICE         
24,5202336128600,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε. 1KG,0.85,0.85,7616633.jpg,1,Λευκή Ζάχαρη,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
25,3041091409812,NUTRICIA ΦΑΡΙΝ ΛΑΚΤΕ 250 ΓΡ,2.58,10.32,7475893.jpg,0,Κρέμες για βρέφη,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
26,5202353004819,ALMIRON 1+ GROWING UP  1LT,2.13,2.13,7068172.jpg,0,Γάλα για βρέφη,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
26,5202353004826,ALMIRON GROWING UP 2+  1LT,2.13,2.13,7068174.jpg,0,Γάλα για βρέφη,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
27,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.05,10.94,default_kalathi.png,1,Ελληνικός Καφές,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
27,5201485006494,ΦΡ. ELITE CL.OΛ.ΑΛΕΣ.4Χ90GR 3+1ΔΩΡ,1.49,4.14,7070501.jpg,0,Ελληνικός Καφές,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
28,8711000531464,JACOBS ΚΑΦΕΣ ΣΤΙΓΜΗΣ     100GR,4.32,43.20,7084328.jpg,0,Στιγμιαίος Καφές,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
29,8712500013269,GONDOLIERE ΚΑΦΕΣ ΦΙΛΤΡΟΥ 500Γ,5.35,10.70,7555374.jpg,1,Γαλλικός Καφές,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
30,5201434009019,ΖΩΓΡΑΦΟΣ SLIM LINE STEVIA ΣΚΟΝΗ 90G,4.12,45.78,default_kalathi.png,0,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,kg,diabetes,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
32,5201399011270,3ΑΛΦΑ ΦΑΚΕΣ ΨΙΛΕΣ 500GR ΕΙΣΑΓΩΓΗΣ,1.87,3.74,7085582.jpg,0,Φακές,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
32,5202336137633,ΑΒ ΦΑΚΕΣ ΨΙΛΕΣ 500G ΕΙΣΑΓΩΓΗΣ,0.94,1.88,7142787.jpg,1,Φακές,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
33,5202336024469,AB ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1LT,1.05,1.05,7091821.jpg,1,Χυμός Πορτοκάλι,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
35,5202336128143,ΑΒ ΣΚΟΝΗ ΠΛΥΝΤ.ACTIVE CLEAN 75MEZ,6.59,0.09,7584379.jpg,1,Απορρυπαντικά Πλυντηρίου,μεζ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
36,5202336119462,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.FRESH 1250ML,0.93,0.74,7568693.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
