barcode,name,parent_categ,category_name,category_uuid,price,price_normalized,unit,image,diabetes,merchant_name,merchant_displayname,pl,from,until
0014100,ΓΑΛΑ ΜΕΒΓΑΛ ΕΛΑΦΡΥ 1.5% 1Λ ΧΑΡΤΙΝΟ,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),11,1.12,1.12,lt,0014100_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
0759001,ΓΑΛΑ ΛΕΥΚΟ ΣΕΡΓΑΛ 1.5% 1ΛΙΤ,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),11,1.12,1.12,lt,0759001_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
0013862,ΓΑΛΑ ΕΒΑΠΟΡΕ ΝΟΥΝΟΥ 170ΓΡ,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Εβαπορέ,12,0.77,4.53,lt,0013862_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
1740885,ΓΑΛΑ ΕΒΑΠΟΡΕ MR GRAND 4%ΛΙΠ 410ΓΡ ΝΕΟ,"Γάλατα, Ροφήματα & Χυμοί ψυγείου",Γάλα Εβαπορέ,12,0.85,2.07,lt,1740885_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
2700870,ΓΙΑΟΥΡΤΙ ΑΓΕΛ ΚΟΥΚΑΚΗ 200ΓΡ 2+1ΔΩΡΟ,"Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου",Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,13,1.71,2.85,kg,2700870_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
2700888,ΓΙΑΟΥΡΤΙ ΑΓΕΛ ΚΟΥΚΑΚΗ 2% 200ΓΡ 2+1ΔΩΡΟ,"Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου",Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),14,1.71,2.85,kg,2700888_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
2480903,ΦΕΤΑ MR GRAND ΠΟΠ ΧΥΜΑ ΔΟΧΕΙΟ,Τυροκομικά & Φυτικά Αναπληρώματα,Τυρί Φέτα,15,9.89,9.89,kg,2480903_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
0934851,ΦΕΤΑ ΠΟΠ ΧΑΛΚΙΔΙΚΗΣ ΚΑΛΑΝΔΑΡΙΔΗ ΧΥΜΑ,Τυροκομικά & Φυτικά Αναπληρώματα,Τυρί Φέτα,15,8.88,8.88,kg,2295749_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3862950,GOUDA ΟΛΛΑΝΔΙΑΣ GRANDE 48% ΦΡΑΤΖΟΛΑ ΧΥΜΑ,Τυροκομικά & Φυτικά Αναπληρώματα,Τυρί Γκούντα,16,6.4,6.4,kg,3862950_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3094075,ΓΚΟΥΝΤΑ HOLSTEIN 48%ΛΙΠ ΓΕΡΜ ΦΡΑΤΖ ΧΥΜΑ,Τυροκομικά & Φυτικά Αναπληρώματα,Τυρί Γκούντα,16,6.4,6.4,kg,3094075_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
1942200,ΓΚΟΥΝΤΑ ΟΛΛΑΝΔΙΑΣ ROYAL ΦΡΑΝΤΖΟΛΑ ΧΥΜΑ,Τυροκομικά & Φυτικά Αναπληρώματα,Τυρί Γκούντα,16,6.4,6.4,kg,1942200_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
1439207,ΗΜΙΣΚΛΗΡΟ ΚΟΛΙΟΣ LIGHT ΠΑΡΑΔ 3Κ ΧΥΜΑ ΦΟΡΜΑ,Τυροκομικά & Φυτικά Αναπληρώματα,Τυρί με Χαμηλά Λιπαρά,17,11.19,11.19,kg,1439207_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3699915,ΤΥΡΙ ΜΑΣΟΥΤΗ LIGHT ΧΥΜΑ,Τυροκομικά & Φυτικά Αναπληρώματα,Τυρί με Χαμηλά Λιπαρά,17,8.59,8.59,kg,3699915_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3607454,VALLATA ROSSA ΧΥΜΟΣ ΤΟΜΑΤΑΣ 500ΓΡ,Τρόφιμα Παντοπωλείου,Χυμός Τομάτας Διατηρημένος,18,0.79,1.58,kg,3607454_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3647633,ΤΟΜΑΤΟΧΥΜΟΣ ΜΑΣΟΥΤΗ 500ΓΡ,Τρόφιμα Παντοπωλείου,Χυμός Τομάτας Διατηρημένος,18,0.59,1.18,kg,3647633_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3315579,ΑΥΓΑ ΦΡΕΣΚΑ ΜΑΣΟΥΤΗ 10T ΜΕΣΑΙΑ 53ΓΡ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,2.99,0.3,τμχ,3315579_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3795507,ΑΥΓΑ ΦΡΕΣΚΑ ΑΧΥΡΩΝΑ MR GRAND 12T ΜΕΣΑΙΑ 53ΓΡ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,2.98,0.25,τμχ,3795507_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
2464907,ΑΥΓΑ ΦΡΕΣΚΑ MR GRAND 10T ΜΕΣΑΙΑ 53,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,2.99,0.3,τμχ,2464907_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
2464923,ΑΥΓΑ ΦΡΕΣΚΑ MR GRAND 10T ΜΕΓΑΛΑ 63ΓΡ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,2.92,0.29,τμχ,default_kalathi.png,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3937844,ΑΥΓΑ ΦΡΕΣΚΑ ΜΑΣΟΥΤΗ ΜΕΓΑΛΑ 10TΧ63ΓΡ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,3.0,0.3,τμχ,default_kalathi.png,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
0831156,ΑΥΓΑ ΤΣΑΚΙΡΗ 6ΑΔΑ ΑΠΛΑ Μ 53-63ΓΡ ΣΥΣΚ/ΝΑ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,1.99,0.33,τμχ,0831156_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3320934,ΑΥΓΑ ΦΡΕΣΚΑ ΤΣΑΚΙΡΗ ΓΙΓΑΣ 6ΑΔΑ 73ΓΡ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,2.79,0.47,τμχ,3320934_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
1156132,ΑΥΓΑ ΧΡΥΣΑ ΦΡΕΣΚΑ ΑΤ 10Τ MED ΧΑΡΤ ΘΗΚΗ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,3.59,0.36,τμχ,1156132_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3678034,ΑΥΓΑ ΧΡΥΣΑ Α ΑΧΥΡΩΝΑ ΜΕ ΒΙΤΑΜΙΝΗ D & Ω3 ST-0.50Ε 6Τ 53ΓΡ,"Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί",Αυγά,19,2.61,0.44,τμχ,3678034_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3908738,ΜΑΡΓΑΡΙΝΗ ΦΑΣΤ SOFT 220ΓΡ,Τυροκομικά & Φυτικά Αναπληρώματα,Μαργαρίνες,20,1.09,4.95,kg,3908738_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
4015186,ΕΛΑΙΟΛΑΔΟ ΕΞΤΡΑ ΠΑΡΘΕΝΟ ΜΑΣΟΥΤΗΣ ΑΠΟ ΤΟΝ ΤΟΠΟ ΜΑΣ 1L,Τρόφιμα Παντοπωλείου,Παρθένο Ελαιόλαδο,21,10.89,10.89,lt,4015186_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3784220,ΕΛΑΙΟΛΑΔΟ ΚΛΑΣΙΚΟ ΜΑΣΟΥΤΗ 1L,Τρόφιμα Παντοπωλείου,Παρθένο Ελαιόλαδο,21,9.99,9.99,lt,default_kalathi.png,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
4001913,ΕΛΑΙΟΛΑΔΟ ΕΞΑΙΡΕΤΙΚΟ ΠΑΡΘΕΝΟ ΚΟΡΩΝΕΙΚΗ ΠΟΙΚΙΛΙΑ ΜΑΣΟΥΤΗ 1L,Τρόφιμα Παντοπωλείου,Παρθένο Ελαιόλαδο,21,11.49,11.49,lt,4001913_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
0566000,ΗΛΙΕΛΑΙΟ MR GRAND 5L,Τρόφιμα Παντοπωλείου,Ηλιέλαιο,22,8.45,1.69,lt,0566000_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
1456177,ΑΡΑΚΑΣ MR GRAND 1000ΓΡ,Κατεψυγμένα,Λαχανικά Κατεψυγμένα,23,2.39,2.39,kg,1456177_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3891652,ΑΡΑΚΑΣ  ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ 420ΓΡ,Κατεψυγμένα,Λαχανικά Κατεψυγμένα,23,2.13,5.07,kg,3891652_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
1456243,ΦΑΣΟΛΑΚΙΑ ΠΛΑΤΙΑ MR GRAND 1000ΓΡ,Κατεψυγμένα,Λαχανικά Κατεψυγμένα,23,2.39,2.39,kg,1456243_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3898525,ΦΑΣΟΛΑΚΙ ΣΤΡΟΓΓΥΛΟ ΜΠΑΡΜΠΑ ΣΤΑΘΗ 420ΓΡ,Κατεψυγμένα,Λαχανικά Κατεψυγμένα,23,1.98,4.71,kg,3898525_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3407004,ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣΤΑΛΛΙΚΗ ROYAL 1Κ,Τρόφιμα Παντοπωλείου,Λευκή Ζάχαρη,24,0.85,0.85,kg,3407004_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3907557,ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣΤΑΛΛΙΚΗ SUDZUCKER 1K,Τρόφιμα Παντοπωλείου,Λευκή Ζάχαρη,24,0.85,0.85,kg,3907557_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3809860,ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣΤΑΛΛΙΚΗ SUGARTIA 1Κ,Τρόφιμα Παντοπωλείου,Λευκή Ζάχαρη,24,0.85,0.85,kg,3809860_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
0764282,ΜΠΙΣΚΟΤΟΚΡΕΜΑ ΓΙΩΤΗΣ 300ΓΡ,Βρεφικές & Παιδικές τροφές,Κρέμες για βρέφη,25,4.21,14.03,kg,default_kalathi.png,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3850005,MILUPA APTAMIL N2 400ΓΡ ΜΕΤΑΛΛΙΚΟ ΚΟΥΤΙ,Βρεφικές & Παιδικές τροφές,Γάλα για βρέφη,26,9.0,22.5,kg,3850005_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3927571,ΚΑΦΕΣ ΕΛΛΗΝΙΚΟΣ ΚΛΑΣΙΚΟΣ ΜΑΣΟΥΤΗ 194ΓΡ,Είδη πρωινού & Ροφήματα,Ελληνικός Καφές,27,2.09,10.77,kg,3927571_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
0933523,ΚΑΦΕΣ ΣΤΙΓΜΗΣ MR GRAND 200ΓΡ,Είδη πρωινού & Ροφήματα,Στιγμιαίος Καφές,28,4.99,24.95,kg,0933523_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
2380582,ΚΑΦΕΣ ΦΙΛΤΡΟΥ MR GRAND 250ΓΡ,Είδη πρωινού & Ροφήματα,Γαλλικός Καφές,29,3.65,14.6,kg,2380582_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3849346,FREEVIA ΕΠΙΤΡΑΠΕΖΙΟ ΓΛΥΚΑΝΤΙΚΟ ΣΤΕΒΙΑ STICK 40Τ+10T ΔΩΡΟ 25ΓΡ,Τρόφιμα Παντοπωλείου,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,30,2.32,92.8,kg,3849346_1.jpg,diabetes,masoutis,Μασούτης,0,2024-07-24,2024-07-30
